Organization,Category,Year,Value,Address,coordinates
un human rights office of the high commissioner for human rights,Food and  Hotels,2022,,"Rue Varembé, 3
1202 Genève
Switzerland
","46.22092633253714, 6.139227211889732"
un human rights office of the high commissioner for human rights,Energy,2021,232,"Rue Varembé, 3
1202 Genève
Switzerland
","46.22092633253714, 6.139227211889732"
un human rights office of the high commissioner for human rights,Mobility,2021,709,"Rue Varembé, 3
1202 Genève
Switzerland
","46.22092633253714, 6.139227211889732"
un human rights office of the high commissioner for human rights,Consumables,2021,375,"Rue Varembé, 3
1202 Genève
Switzerland
","46.22092633253714, 6.139227211889732"
un human rights office of the high commissioner for human rights,Waste,2021,25,"Rue Varembé, 3
1202 Genève
Switzerland
","46.22092633253714, 6.139227211889732"
un human rights office of the high commissioner for human rights,Food and  Hotels,2021,0,"Rue Varembé, 3
1202 Genève
Switzerland
","46.22092633253714, 6.139227211889732"
un human rights office of the high commissioner for human rights,Energy,2020,234,"Rue Varembé, 3
1202 Genève
Switzerland
","46.22092633253714, 6.139227211889732"
un human rights office of the high commissioner for human rights,Mobility (*),2020,3927,"Rue Varembé, 3
1202 Genève
Switzerland
","46.22092633253714, 6.139227211889732"
un human rights office of the high commissioner for human rights,Food / Hotels,2020,N/R,"Rue Varembé, 3
1202 Genève
Switzerland
","46.22092633253714, 6.139227211889732"
un human rights office of the high commissioner for human rights,Waste,2020,13,"Rue Varembé, 3
1202 Genève
Switzerland
","46.22092633253714, 6.139227211889732"
un human rights office of the high commissioner for human rights,Consumables,2020,25,"Rue Varembé, 3
1202 Genève
Switzerland
","46.22092633253714, 6.139227211889732"
icva international council of voluntary agencies,Energy,2022,6.5,"Palais des Nations
Avenue de la Paix 8-14
1211 Genève
Switzerland","46.225705500000004, 6.140806439130429"
icva international council of voluntary agencies,Mobility,2022,8.9,"Palais des Nations
Avenue de la Paix 8-14
1211 Genève
Switzerland","46.225705500000004, 6.140806439130429"
icva international council of voluntary agencies,Consumables,2022,1.1,"Palais des Nations
Avenue de la Paix 8-14
1211 Genève
Switzerland","46.225705500000004, 6.140806439130429"
icva international council of voluntary agencies,Waste,2022,0.1,"Palais des Nations
Avenue de la Paix 8-14
1211 Genève
Switzerland","46.225705500000004, 6.140806439130429"
icva international council of voluntary agencies,Food and  Hotels,2022,6,"Palais des Nations
Avenue de la Paix 8-14
1211 Genève
Switzerland","46.225705500000004, 6.140806439130429"
icva international council of voluntary agencies,Energy,2021,10,"Palais des Nations
Avenue de la Paix 8-14
1211 Genève
Switzerland","46.225705500000004, 6.140806439130429"
icva international council of voluntary agencies,Mobility,2021,3,"Palais des Nations
Avenue de la Paix 8-14
1211 Genève
Switzerland","46.225705500000004, 6.140806439130429"
icva international council of voluntary agencies,Consumables,2021,1,"Palais des Nations
Avenue de la Paix 8-14
1211 Genève
Switzerland","46.225705500000004, 6.140806439130429"
icva international council of voluntary agencies,Waste,2021,0,"Palais des Nations
Avenue de la Paix 8-14
1211 Genève
Switzerland","46.225705500000004, 6.140806439130429"
icva international council of voluntary agencies,Food and  Hotels,2021,11,"Palais des Nations
Avenue de la Paix 8-14
1211 Genève
Switzerland","46.225705500000004, 6.140806439130429"
path foundation for appropriate technologies in health,Energy,2022,6.1,"Palais des Nations
Avenue de la Paix 8-14
1211 Genève
Switzerland","46.225705500000004, 6.140806439130429"
path foundation for appropriate technologies in health,Mobility,2022,17.1,"Palais des Nations
Avenue de la Paix 8-14
1211 Genève
Switzerland","46.225705500000004, 6.140806439130429"
path foundation for appropriate technologies in health,Consumables,2022,2.6,"Palais des Nations
Avenue de la Paix 8-14
1211 Genève
Switzerland","46.225705500000004, 6.140806439130429"
path foundation for appropriate technologies in health,Waste,2022,0.1,"Palais des Nations
Avenue de la Paix 8-14
1211 Genève
Switzerland","46.225705500000004, 6.140806439130429"
path foundation for appropriate technologies in health,Food and  Hotels,2022,22.1,"Palais des Nations
Avenue de la Paix 8-14
1211 Genève
Switzerland","46.225705500000004, 6.140806439130429"
path foundation for appropriate technologies in health,Energy,2021,4,"Palais des Nations
Avenue de la Paix 8-14
1211 Genève
Switzerland","46.225705500000004, 6.140806439130429"
path foundation for appropriate technologies in health,Mobility,2021,18,"Palais des Nations
Avenue de la Paix 8-14
1211 Genève
Switzerland","46.225705500000004, 6.140806439130429"
path foundation for appropriate technologies in health,Consumables,2021,1,"Palais des Nations
Avenue de la Paix 8-14
1211 Genève
Switzerland","46.225705500000004, 6.140806439130429"
path foundation for appropriate technologies in health,Waste,2021,0,"Palais des Nations
Avenue de la Paix 8-14
1211 Genève
Switzerland","46.225705500000004, 6.140806439130429"
path foundation for appropriate technologies in health,Food and  Hotels,2021,13,"Palais des Nations
Avenue de la Paix 8-14
1211 Genève
Switzerland","46.225705500000004, 6.140806439130429"
path foundation for appropriate technologies in health,Energy,2020,6,"Palais des Nations
Avenue de la Paix 8-14
1211 Genève
Switzerland","46.225705500000004, 6.140806439130429"
path foundation for appropriate technologies in health,Mobility,2020,120,"Palais des Nations
Avenue de la Paix 8-14
1211 Genève
Switzerland","46.225705500000004, 6.140806439130429"
path foundation for appropriate technologies in health,Food / Hotels,2020,15,"Palais des Nations
Avenue de la Paix 8-14
1211 Genève
Switzerland","46.225705500000004, 6.140806439130429"
path foundation for appropriate technologies in health,Waste,2020,1,"Palais des Nations
Avenue de la Paix 8-14
1211 Genève
Switzerland","46.225705500000004, 6.140806439130429"
path foundation for appropriate technologies in health,Consumables,2020,1,"Palais des Nations
Avenue de la Paix 8-14
1211 Genève
Switzerland","46.225705500000004, 6.140806439130429"
permanent delegation of the european union,Energy,2022,31.9,"Rue du Grand-Pré 64
1202 Geneva
Switzerland","46.2156717, 6.1322563"
permanent delegation of the european union,Mobility,2022,57.1,"Rue du Grand-Pré 64
1202 Geneva
Switzerland","46.2156717, 6.1322563"
permanent delegation of the european union,Consumables,2022,15.1,"Rue du Grand-Pré 64
1202 Geneva
Switzerland","46.2156717, 6.1322563"
permanent delegation of the european union,Waste,2022,0,"Rue du Grand-Pré 64
1202 Geneva
Switzerland","46.2156717, 6.1322563"
permanent delegation of the european union,Food and  Hotels,2022,49.4,"Rue du Grand-Pré 64
1202 Geneva
Switzerland","46.2156717, 6.1322563"
permanent delegation of the european union,Energy,2021,63,"Rue du Grand-Pré 64
1202 Geneva
Switzerland","46.2156717, 6.1322563"
permanent delegation of the european union,Mobility,2021,37,"Rue du Grand-Pré 64
1202 Geneva
Switzerland","46.2156717, 6.1322563"
permanent delegation of the european union,Consumables,2021,11,"Rue du Grand-Pré 64
1202 Geneva
Switzerland","46.2156717, 6.1322563"
permanent delegation of the european union,Waste,2021,0,"Rue du Grand-Pré 64
1202 Geneva
Switzerland","46.2156717, 6.1322563"
permanent delegation of the european union,Food and  Hotels,2021,54,"Rue du Grand-Pré 64
1202 Geneva
Switzerland","46.2156717, 6.1322563"
permanent delegation of the european union,Energy,2020,42,"Rue du Grand-Pré 64
1202 Geneva
Switzerland","46.2156717, 6.1322563"
permanent delegation of the european union,Mobility,2020,70,"Rue du Grand-Pré 64
1202 Geneva
Switzerland","46.2156717, 6.1322563"
permanent delegation of the european union,Food / Hotels,2020,57,"Rue du Grand-Pré 64
1202 Geneva
Switzerland","46.2156717, 6.1322563"
permanent delegation of the european union,Waste,2020,13,"Rue du Grand-Pré 64
1202 Geneva
Switzerland","46.2156717, 6.1322563"
permanent delegation of the european union,Consumables,2020,9,"Rue du Grand-Pré 64
1202 Geneva
Switzerland","46.2156717, 6.1322563"
unhcr the un refugee agency,Energy,2022,"215,5","Chemin du Petit-Saconnex 28B
1209 Geneva
Switzerland","46.222618, 6.1329042"
unhcr the un refugee agency,Mobility,2022,"490,3","Chemin du Petit-Saconnex 28B
1209 Geneva
Switzerland","46.222618, 6.1329042"
unhcr the un refugee agency,Consumables,2022,,"Chemin du Petit-Saconnex 28B
1209 Geneva
Switzerland","46.222618, 6.1329042"
unhcr the un refugee agency,Waste,2022,"154,5","Chemin du Petit-Saconnex 28B
1209 Geneva
Switzerland","46.222618, 6.1329042"
unhcr the un refugee agency,Food and  Hotels,2022,,"Chemin du Petit-Saconnex 28B
1209 Geneva
Switzerland","46.222618, 6.1329042"
unhcr the un refugee agency,Energy,2021,149,"Chemin du Petit-Saconnex 28B
1209 Geneva
Switzerland","46.222618, 6.1329042"
unhcr the un refugee agency,Mobility,2021,486,"Chemin du Petit-Saconnex 28B
1209 Geneva
Switzerland","46.222618, 6.1329042"
unhcr the un refugee agency,Consumables,2021,188,"Chemin du Petit-Saconnex 28B
1209 Geneva
Switzerland","46.222618, 6.1329042"
unhcr the un refugee agency,Waste,2021,14,"Chemin du Petit-Saconnex 28B
1209 Geneva
Switzerland","46.222618, 6.1329042"
unhcr the un refugee agency,Food and  Hotels,2021,0,"Chemin du Petit-Saconnex 28B
1209 Geneva
Switzerland","46.222618, 6.1329042"
unhcr the un refugee agency,Energy,2020,92,"Chemin du Petit-Saconnex 28B
1209 Geneva
Switzerland","46.222618, 6.1329042"
unhcr the un refugee agency,Mobility,2020,1079,"Chemin du Petit-Saconnex 28B
1209 Geneva
Switzerland","46.222618, 6.1329042"
unhcr the un refugee agency,Food / Hotels,2020,92,"Chemin du Petit-Saconnex 28B
1209 Geneva
Switzerland","46.222618, 6.1329042"
unhcr the un refugee agency,Waste,2020,13,"Chemin du Petit-Saconnex 28B
1209 Geneva
Switzerland","46.222618, 6.1329042"
unhcr the un refugee agency,Consumables,2020,240,"Chemin du Petit-Saconnex 28B
1209 Geneva
Switzerland","46.222618, 6.1329042"
ebu european broadcasting union,Energy,2022,517,"Esplanade des Particules 1
1211 Geneva
Switzerland","46.2330338, 6.0556926"
ebu european broadcasting union,Mobility,2022,173.9,"Esplanade des Particules 1
1211 Geneva
Switzerland","46.2330338, 6.0556926"
ebu european broadcasting union,Consumables,2022,29,"Esplanade des Particules 1
1211 Geneva
Switzerland","46.2330338, 6.0556926"
ebu european broadcasting union,Waste,2022,21.2,"Esplanade des Particules 1
1211 Geneva
Switzerland","46.2330338, 6.0556926"
ebu european broadcasting union,Food and  Hotels,2022,66.1,"Esplanade des Particules 1
1211 Geneva
Switzerland","46.2330338, 6.0556926"
ebu european broadcasting union,Energy,2021,393,"Esplanade des Particules 1
1211 Geneva
Switzerland","46.2330338, 6.0556926"
ebu european broadcasting union,Mobility,2021,228,"Esplanade des Particules 1
1211 Geneva
Switzerland","46.2330338, 6.0556926"
ebu european broadcasting union,Consumables,2021,28,"Esplanade des Particules 1
1211 Geneva
Switzerland","46.2330338, 6.0556926"
ebu european broadcasting union,Waste,2021,29,"Esplanade des Particules 1
1211 Geneva
Switzerland","46.2330338, 6.0556926"
ebu european broadcasting union,Food and  Hotels,2021,37,"Esplanade des Particules 1
1211 Geneva
Switzerland","46.2330338, 6.0556926"
ebu european broadcasting union,Energy,2020,270,"Esplanade des Particules 1
1211 Geneva
Switzerland","46.2330338, 6.0556926"
ebu european broadcasting union,Mobility,2020,1107,"Esplanade des Particules 1
1211 Geneva
Switzerland","46.2330338, 6.0556926"
ebu european broadcasting union,Food and  Hotels,2020,286,"Esplanade des Particules 1
1211 Geneva
Switzerland","46.2330338, 6.0556926"
ebu european broadcasting union,Waste,2020,29,"Esplanade des Particules 1
1211 Geneva
Switzerland","46.2330338, 6.0556926"
ebu european broadcasting union,Consumables,2020,26,"Esplanade des Particules 1
1211 Geneva
Switzerland","46.2330338, 6.0556926"
permanent mission of the republic of costa rica,Energy,2022,1,"Avenue de France 23
1202 Geneva
Switzerland","46.2200491, 6.143868"
permanent mission of the republic of costa rica,Mobility,2022,0.1,"Avenue de France 23
1202 Geneva
Switzerland","46.2200491, 6.143868"
permanent mission of the republic of costa rica,Consumables,2022,0,"Avenue de France 23
1202 Geneva
Switzerland","46.2200491, 6.143868"
permanent mission of the republic of costa rica,Waste,2022,0.2,"Avenue de France 23
1202 Geneva
Switzerland","46.2200491, 6.143868"
permanent mission of the republic of costa rica,Food and  Hotels,2022,3.1,"Avenue de France 23
1202 Geneva
Switzerland","46.2200491, 6.143868"
permanent mission of the republic of costa rica,Energy,2021,1,"Avenue de France 23
1202 Geneva
Switzerland","46.2200491, 6.143868"
permanent mission of the republic of costa rica,Mobility,2021,0,"Avenue de France 23
1202 Geneva
Switzerland","46.2200491, 6.143868"
permanent mission of the republic of costa rica,Consumables,2021,1,"Avenue de France 23
1202 Geneva
Switzerland","46.2200491, 6.143868"
permanent mission of the republic of costa rica,Waste,2021,0,"Avenue de France 23
1202 Geneva
Switzerland","46.2200491, 6.143868"
permanent mission of the republic of costa rica,Food and  Hotels,2021,1,"Avenue de France 23
1202 Geneva
Switzerland","46.2200491, 6.143868"
permanent mission of the republic of costa rica,Energy,2020,0,"Avenue de France 23
1202 Geneva
Switzerland","46.2200491, 6.143868"
permanent mission of the republic of costa rica,Mobility,2020,0,"Avenue de France 23
1202 Geneva
Switzerland","46.2200491, 6.143868"
permanent mission of the republic of costa rica,Food / Hotels,2020,3,"Avenue de France 23
1202 Geneva
Switzerland","46.2200491, 6.143868"
permanent mission of the republic of costa rica,Waste,2020,0,"Avenue de France 23
1202 Geneva
Switzerland","46.2200491, 6.143868"
permanent mission of the republic of costa rica,Consumables,2020,3,"Avenue de France 23
1202 Geneva
Switzerland","46.2200491, 6.143868"
permanent mission of ireland,Energy,2022,72,"Rue de Moillebeau 56-58
1209 Geneva","46.2205313, 6.1295725"
permanent mission of ireland,Mobility,2022,9,"Rue de Moillebeau 56-58
1209 Geneva","46.2205313, 6.1295725"
permanent mission of ireland,Consumables,2022,4,"Rue de Moillebeau 56-58
1209 Geneva","46.2205313, 6.1295725"
permanent mission of ireland,Waste,2022,0,"Rue de Moillebeau 56-58
1209 Geneva","46.2205313, 6.1295725"
permanent mission of ireland,Food and  Hotels,2022,10,"Rue de Moillebeau 56-58
1209 Geneva","46.2205313, 6.1295725"
permanent mission of ireland,Energy,2021,0,"Rue de Moillebeau 56-58
1209 Geneva","46.2205313, 6.1295725"
permanent mission of ireland,Mobility,2021,11,"Rue de Moillebeau 56-58
1209 Geneva","46.2205313, 6.1295725"
permanent mission of ireland,Food / Hotels,2021,6,"Rue de Moillebeau 56-58
1209 Geneva","46.2205313, 6.1295725"
permanent mission of ireland,Waste,2021,1,"Rue de Moillebeau 56-58
1209 Geneva","46.2205313, 6.1295725"
permanent mission of ireland,Consumables,2021,3,"Rue de Moillebeau 56-58
1209 Geneva","46.2205313, 6.1295725"
office of the united nations in geneva,Energy,2022,2117.9,"Avenue de France 23
1202 Geneva
Switzerland","46.2200491, 6.143868"
office of the united nations in geneva,Mobility,2022,19.9,"Avenue de France 23
1202 Geneva
Switzerland","46.2200491, 6.143868"
office of the united nations in geneva,Consumables,2022,15.5,"Avenue de France 23
1202 Geneva
Switzerland","46.2200491, 6.143868"
office of the united nations in geneva,Waste,2022,132.8,"Avenue de France 23
1202 Geneva
Switzerland","46.2200491, 6.143868"
office of the united nations in geneva,Food and  Hotels,2022,1.7,"Avenue de France 23
1202 Geneva
Switzerland","46.2200491, 6.143868"
office of the united nations in geneva,Energy,2021,1739,"Avenue de France 23
1202 Geneva
Switzerland","46.2200491, 6.143868"
office of the united nations in geneva,Mobility,2021,18,"Avenue de France 23
1202 Geneva
Switzerland","46.2200491, 6.143868"
office of the united nations in geneva,Consumables,2021,48,"Avenue de France 23
1202 Geneva
Switzerland","46.2200491, 6.143868"
office of the united nations in geneva,Waste,2021,171,"Avenue de France 23
1202 Geneva
Switzerland","46.2200491, 6.143868"
office of the united nations in geneva,Food and  Hotels,2021,650,"Avenue de France 23
1202 Geneva
Switzerland","46.2200491, 6.143868"
office of the united nations in geneva,Energy,2020,2084,"Avenue de France 23
1202 Geneva
Switzerland","46.2200491, 6.143868"
office of the united nations in geneva,Mobility,2020,83,"Avenue de France 23
1202 Geneva
Switzerland","46.2200491, 6.143868"
office of the united nations in geneva,Food / Hotels (*),2020,1130,"Avenue de France 23
1202 Geneva
Switzerland","46.2200491, 6.143868"
office of the united nations in geneva,Waste,2020,95,"Avenue de France 23
1202 Geneva
Switzerland","46.2200491, 6.143868"
office of the united nations in geneva,Consumables,2020,N/R,"Avenue de France 23
1202 Geneva
Switzerland","46.2200491, 6.143868"
geneva call,Energy,2022,21,"Rue de Varembé 7
1202 Geneva
Switzerland","46.2213651, 6.1395961"
geneva call,Mobility,2022,26,"Rue de Varembé 7
1202 Geneva
Switzerland","46.2213651, 6.1395961"
geneva call,Consumables,2022,4,"Rue de Varembé 7
1202 Geneva
Switzerland","46.2213651, 6.1395961"
geneva call,Waste,2022,1,"Rue de Varembé 7
1202 Geneva
Switzerland","46.2213651, 6.1395961"
geneva call,Food and  Hotels,2022,27,"Rue de Varembé 7
1202 Geneva
Switzerland","46.2213651, 6.1395961"
geneva call,Energy,2021,21,"Rue de Varembé 7
1202 Geneva
Switzerland","46.2213651, 6.1395961"
geneva call,Mobility,2021,157,"Rue de Varembé 7
1202 Geneva
Switzerland","46.2213651, 6.1395961"
geneva call,Food / Hotels,2021,32,"Rue de Varembé 7
1202 Geneva
Switzerland","46.2213651, 6.1395961"
geneva call,Waste,2021,1,"Rue de Varembé 7
1202 Geneva
Switzerland","46.2213651, 6.1395961"
geneva call,Consumables,2021,3,"Rue de Varembé 7
1202 Geneva
Switzerland","46.2213651, 6.1395961"
upov international union for the protection of new varieties of plants,Energy,2022,22.5,"Chemin des Colombettes 34
1211 Geneva
Switzerland","46.2218286, 6.137159"
upov international union for the protection of new varieties of plants,Mobility,2022,1.3,"Chemin des Colombettes 34
1211 Geneva
Switzerland","46.2218286, 6.137159"
upov international union for the protection of new varieties of plants,Consumables,2022,,"Chemin des Colombettes 34
1211 Geneva
Switzerland","46.2218286, 6.137159"
upov international union for the protection of new varieties of plants,Waste,2022,0.7,"Chemin des Colombettes 34
1211 Geneva
Switzerland","46.2218286, 6.137159"
upov international union for the protection of new varieties of plants,Food and  Hotels,2022,,"Chemin des Colombettes 34
1211 Geneva
Switzerland","46.2218286, 6.137159"
upov international union for the protection of new varieties of plants,Energy,2021,18,"Chemin des Colombettes 34
1211 Geneva
Switzerland","46.2218286, 6.137159"
upov international union for the protection of new varieties of plants,Mobility,2021,31,"Chemin des Colombettes 34
1211 Geneva
Switzerland","46.2218286, 6.137159"
upov international union for the protection of new varieties of plants,Consumables,2021,0,"Chemin des Colombettes 34
1211 Geneva
Switzerland","46.2218286, 6.137159"
upov international union for the protection of new varieties of plants,Waste,2021,0,"Chemin des Colombettes 34
1211 Geneva
Switzerland","46.2218286, 6.137159"
upov international union for the protection of new varieties of plants,Food and  Hotels,2021,0,"Chemin des Colombettes 34
1211 Geneva
Switzerland","46.2218286, 6.137159"
upov international union for the protection of new varieties of plants,Energy,2020,18,"Chemin des Colombettes 34
1211 Geneva
Switzerland","46.2218286, 6.137159"
upov international union for the protection of new varieties of plants,Mobility,2020,81,"Chemin des Colombettes 34
1211 Geneva
Switzerland","46.2218286, 6.137159"
upov international union for the protection of new varieties of plants,Food / Hotels,2020,N/R,"Chemin des Colombettes 34
1211 Geneva
Switzerland","46.2218286, 6.137159"
upov international union for the protection of new varieties of plants,Waste,2020,2,"Chemin des Colombettes 34
1211 Geneva
Switzerland","46.2218286, 6.137159"
upov international union for the protection of new varieties of plants,Consumables,2020,N/R,"Chemin des Colombettes 34
1211 Geneva
Switzerland","46.2218286, 6.137159"
permanent mission of finland,Energy,2022,3.2,"Avenue de France 23
1202 Geneva
Switzerland","46.2200491, 6.143868"
permanent mission of finland,Mobility,2022,13.2,"Avenue de France 23
1202 Geneva
Switzerland","46.2200491, 6.143868"
permanent mission of finland,Consumables,2022,18.6,"Avenue de France 23
1202 Geneva
Switzerland","46.2200491, 6.143868"
permanent mission of finland,Waste,2022,0.4,"Avenue de France 23
1202 Geneva
Switzerland","46.2200491, 6.143868"
permanent mission of finland,Food and  Hotels,2022,22.1,"Avenue de France 23
1202 Geneva
Switzerland","46.2200491, 6.143868"
permanent mission of finland,Energy,2021,21,"Avenue de France 23
1202 Geneva
Switzerland","46.2200491, 6.143868"
permanent mission of finland,Mobility,2021,4,"Avenue de France 23
1202 Geneva
Switzerland","46.2200491, 6.143868"
permanent mission of finland,Consumables,2021,2,"Avenue de France 23
1202 Geneva
Switzerland","46.2200491, 6.143868"
permanent mission of finland,Waste,2021,0,"Avenue de France 23
1202 Geneva
Switzerland","46.2200491, 6.143868"
permanent mission of finland,Food and  Hotels,2021,17,"Avenue de France 23
1202 Geneva
Switzerland","46.2200491, 6.143868"
permanent mission of finland,Energy,2020,21,"Avenue de France 23
1202 Geneva
Switzerland","46.2200491, 6.143868"
permanent mission of finland,Mobility,2020,8,"Avenue de France 23
1202 Geneva
Switzerland","46.2200491, 6.143868"
permanent mission of finland,Food / Hotels,2020,8,"Avenue de France 23
1202 Geneva
Switzerland","46.2200491, 6.143868"
permanent mission of finland,Waste,2020,0,"Avenue de France 23
1202 Geneva
Switzerland","46.2200491, 6.143868"
permanent mission of finland,Consumables,2020,1,"Avenue de France 23
1202 Geneva
Switzerland","46.2200491, 6.143868"
fipoi foundation for buildings for international organisations,Energy,2022,21.3,"Boulevard du Théâtre 4
1204 Genève","46.2022496, 6.1416388"
fipoi foundation for buildings for international organisations,Mobility,2022,36.2,"Boulevard du Théâtre 4
1204 Genève","46.2022496, 6.1416388"
fipoi foundation for buildings for international organisations,Consumables,2022,3,"Boulevard du Théâtre 4
1204 Genève","46.2022496, 6.1416388"
fipoi foundation for buildings for international organisations,Waste,2022,0.4,"Boulevard du Théâtre 4
1204 Genève","46.2022496, 6.1416388"
fipoi foundation for buildings for international organisations,Food and  Hotels,2022,44,"Boulevard du Théâtre 4
1204 Genève","46.2022496, 6.1416388"
fipoi foundation for buildings for international organisations,Energy,2021,19,"Boulevard du Théâtre 4
1204 Genève","46.2022496, 6.1416388"
fipoi foundation for buildings for international organisations,Mobility,2021,63,"Boulevard du Théâtre 4
1204 Genève","46.2022496, 6.1416388"
fipoi foundation for buildings for international organisations,Consumables,2021,9,"Boulevard du Théâtre 4
1204 Genève","46.2022496, 6.1416388"
fipoi foundation for buildings for international organisations,Waste,2021,1,"Boulevard du Théâtre 4
1204 Genève","46.2022496, 6.1416388"
fipoi foundation for buildings for international organisations,Food and  Hotels,2021,32,"Boulevard du Théâtre 4
1204 Genève","46.2022496, 6.1416388"
fipoi foundation for buildings for international organisations,Energy,2020,17,"Boulevard du Théâtre 4
1204 Genève","46.2022496, 6.1416388"
fipoi foundation for buildings for international organisations,Mobility,2020,40,"Boulevard du Théâtre 4
1204 Genève","46.2022496, 6.1416388"
